# ra,dec,mag,mag_error
130.123311,18.287869,20.2542,0.006769
130.093288,18.300645,20.1310,0.004965
130.059080,18.274829,14.6003,0.000232
130.088946,18.324683,17.9498,0.001247
130.048614,18.332695,21.2369,0.019760
130.181024,18.389549,16.2437,0.000484
130.144308,18.421751,20.7756,0.013758
130.021211,18.347629,19.3822,0.003435
130.003260,18.396446,19.8673,0.004231
130.095133,18.113666,17.9107,0.001371
130.054421,18.113786,18.4163,0.001777
130.111849,18.162068,20.8295,0.013781
130.523492,18.210297,13.9536,0.000267
130.564233,18.220117,19.7056,0.003355
130.494023,18.208511,18.8795,0.001888
130.610044,18.272413,18.5952,0.001588
130.668354,18.300268,17.0711,0.001443
130.632334,18.319441,17.3449,0.000703
130.361381,18.181966,19.7541,0.003932
130.334791,18.167382,20.3385,0.006382
130.332319,18.179533,19.8558,0.003910
130.377783,18.218671,20.0649,0.005118
130.312394,18.195898,18.4469,0.001539
130.334988,18.223942,19.4381,0.003048
130.150756,18.164226,18.2656,0.001796
130.139182,18.189955,16.8173,0.000655
130.266669,18.237686,18.9892,0.002253
130.213972,18.250251,14.6277,0.004029
130.251911,18.274144,20.8399,0.024085
130.299990,18.281020,19.6368,0.003993
130.319441,18.296136,16.3783,0.000538
130.191750,18.279706,20.8233,0.017965
130.452282,18.233811,20.5006,0.007320
130.427198,18.260341,16.9968,0.000692
130.379097,18.269359,19.9715,0.004620
130.366154,18.277673,19.8750,0.004217
130.523889,18.302656,20.0727,0.004548
130.578487,18.374545,18.6612,0.001763
130.570150,18.375332,20.0364,0.004152
130.576237,18.392170,16.6727,0.000879
130.569304,18.395528,20.2179,0.004521
130.476151,18.368087,20.8023,0.010530
130.464777,18.395216,13.6086,0.000129
130.519637,18.393881,14.1048,0.000199
130.310998,18.329064,21.6408,0.035040
130.392782,18.375901,13.1756,0.000174
130.326862,18.354959,18.6833,0.001851
130.281356,18.364062,21.0399,0.014389
130.281485,18.372563,21.2414,0.029868
130.444479,18.414429,17.0403,0.000727
130.451222,18.448456,21.5674,0.043867
130.448762,18.475145,20.9002,0.016457
129.946466,18.118408,20.1180,0.005368
129.966360,18.138878,19.1489,0.002839
129.918152,18.143050,12.8055,0.000262
129.929262,18.154377,19.4839,0.003033
129.865000,18.129117,20.1504,0.005486
129.874799,18.181307,20.7221,0.011776
129.990231,18.188728,20.4776,0.008315
130.001614,18.191816,19.5715,0.003673
129.989883,18.193999,20.6030,0.009285
129.985523,18.198742,20.2669,0.005910
130.073040,18.214045,20.6092,0.008939
129.990461,18.257329,16.3349,0.000571
129.851129,18.218524,17.5475,0.001070
129.791467,18.211291,20.5094,0.008289
129.809980,18.256129,19.8519,0.004072
129.821104,18.274810,16.7002,0.000664
129.947580,18.319660,18.9897,0.002515
129.852990,18.262647,18.7768,0.002139
129.897579,18.308771,14.5134,0.000333
129.593377,18.234799,21.5073,0.032247
129.475426,18.256832,20.9809,0.018688
129.524688,18.243124,18.4345,0.001843
129.541921,18.297710,15.4544,0.000430
129.552398,18.308145,16.7567,0.002683
129.539152,18.313126,17.7021,0.001217
129.544428,18.314641,20.8972,0.015267
129.724387,18.278498,21.3608,0.028880
129.707371,18.334627,20.5858,0.008394
129.865739,18.374683,18.1626,0.001540
129.778259,18.399281,19.2828,0.003003
129.806476,18.392413,19.9735,0.005289
129.804318,18.404985,19.4727,0.003691
